Postanski_ured;Mjesto;Zupanija
31215 Ernestinovo;Petrova Slatina;Osječko-baranjska županija
31215 Ernestinovo;Šodolovci;Osječko-baranjska županija
31216 Antunovac;Antunovac;Osječko-baranjska županija
31216 Antunovac;Ivanovac;Osječko-baranjska županija
31220 Višnjevac;Višnjevac;Osječko-baranjska županija
31221 Josipovac;Josipovac;Osječko-baranjska županija
31222 Bizovac;Bizovac;Osječko-baranjska županija
31222 Bizovac;Cerovac;Osječko-baranjska županija
31222 Bizovac;Cret Bizovački;Osječko-baranjska županija
31222 Bizovac;Samatovci;Osječko-baranjska županija
31222 Bizovac;Satnica;Osječko-baranjska županija
31222 Bizovac;Selci;Osječko-baranjska županija
31223 Brođanci;Brođanci;Osječko-baranjska županija
31223 Brođanci;Habjanovci;Osječko-baranjska županija
31223 Brođanci;Novaki Bizovački;Osječko-baranjska županija
31224 Koška;Andrijevac;Osječko-baranjska županija
31224 Koška;Branimirovac;Osječko-baranjska županija
31224 Koška;Koška;Osječko-baranjska županija
31224 Koška;Ledenik;Osječko-baranjska županija
31224 Koška;Lug Subotički;Osječko-baranjska županija
31224 Koška;Niza;Osječko-baranjska županija
31224 Koška;Normanci;Osječko-baranjska županija
31224 Koška;Ordanja;Osječko-baranjska županija
31224 Koška;Topoline;Osječko-baranjska županija
31225 Breznica Našička;Breznica Našička;Osječko-baranjska županija
31225 Breznica Našička;Jelisavac;Osječko-baranjska županija
31225 Breznica Našička;Lađanska;Osječko-baranjska županija
31225 Breznica Našička;Ribnjak;Osječko-baranjska županija
31226 Dalj;Dalj;Osječko-baranjska županija
31227 Zelčin;Harkanovci;Osječko-baranjska županija
31227 Zelčin;Ivanovci;Osječko-baranjska županija
31227 Zelčin;Marjančaci;Osječko-baranjska županija
31227 Zelčin;Zelčin;Osječko-baranjska županija
31300 Beli Manastir;Beli Manastir;Osječko-baranjska županija
31300 Beli Manastir;Luč;Osječko-baranjska županija
31300 Beli Manastir;Sudaraž;Osječko-baranjska županija
31300 Beli Manastir;Šećerana;Osječko-baranjska županija
31300 Beli Manastir;Širine;Osječko-baranjska županija
31300 Beli Manastir;Šumarina;Osječko-baranjska županija
31301 Branjin Vrh;Branjin Vrh;Osječko-baranjska županija
31302 Kneževo;Kneževo;Osječko-baranjska županija
31303 Popovac;Branjina;Osječko-baranjska županija
31303 Popovac;Podolje;Osječko-baranjska županija
31303 Popovac;Popovac;Osječko-baranjska županija
31304 Duboševica;Duboševica;Osječko-baranjska županija
31304 Duboševica;Topolje;Osječko-baranjska županija
31305 Draž;Draž;Osječko-baranjska županija
31305 Draž;Gajić;Osječko-baranjska županija
31306 Batina;Batina;Osječko-baranjska županija
31307 Zmajevac;Zmajevac;Osječko-baranjska županija
31308 Suza;Suza;Osječko-baranjska županija
31309 Kneževi Vinogradi;Grabovac;Osječko-baranjska županija
31309 Kneževi Vinogradi;Jasenovac;Osječko-baranjska županija
31309 Kneževi Vinogradi;Kamenac;Osječko-baranjska županija
31309 Kneževi Vinogradi;Kneževi Vinogradi;Osječko-baranjska županija
31309 Kneževi Vinogradi;Kotlina;Osječko-baranjska županija
31309 Kneževi Vinogradi;Kozjak;Osječko-baranjska županija
31309 Kneževi Vinogradi;Mirkovac;Osječko-baranjska županija
31309 Kneževi Vinogradi;Mitrovac;Osječko-baranjska županija
31309 Kneževi Vinogradi;Sokolovac;Osječko-baranjska županija
31309 Kneževi Vinogradi;Tikveš;Osječko-baranjska županija
31309 Kneževi Vinogradi;Zlatna Greda;Osječko-baranjska županija
31315 Karanac;Karanac;Osječko-baranjska županija
31321 Petlovac;Petlovac;Osječko-baranjska županija
31321 Petlovac;Zeleno Polje;Osječko-baranjska županija
31322 Baranjsko Petrovo Selo;Baranjsko Petrovo Selo;Osječko-baranjska županija
31322 Baranjsko Petrovo Selo;Novi Bezdan;Osječko-baranjska županija
31322 Baranjsko Petrovo Selo;Novo Nevesinje;Osječko-baranjska županija
31322 Baranjsko Petrovo Selo;Torjanci;Osječko-baranjska županija
31323 Bolman;Bolman;Osječko-baranjska županija
31323 Bolman;Majške Međe;Osječko-baranjska županija
31323 Bolman;Novi Bolman;Osječko-baranjska županija
31324 Jagodnjak;Jagodnjak;Osječko-baranjska županija
31325 Čeminac;Čeminac;Osječko-baranjska županija
31325 Čeminac;Kozarac;Osječko-baranjska županija
31325 Čeminac;Novi Čeminac;Osječko-baranjska županija
31326 Darda;Darda;Osječko-baranjska županija
31326 Darda;Mece;Osječko-baranjska županija
31326 Darda;Švajcarnica;Osječko-baranjska županija
31326 Darda;Uglješ;Osječko-baranjska županija
31327 Bilje;Bilje;Osječko-baranjska županija
31327 Bilje;Kopačevo;Osječko-baranjska županija
31327 Bilje;Podunavlje;Osječko-baranjska županija
31327 Bilje;Vardarac;Osječko-baranjska županija
31328 Lug;Lug;Osječko-baranjska županija
31400 Đakovo;Budrovci;Osječko-baranjska županija
31400 Đakovo;Đakovo;Osječko-baranjska županija
31400 Đakovo;Đurđanci;Osječko-baranjska županija
31400 Đakovo;Ivanovci Đakovački;Osječko-baranjska županija
31400 Đakovo;Kuševac;Osječko-baranjska županija
31400 Đakovo;Široko Polje;Osječko-baranjska županija
31401 Viškovci;Viškovci;Osječko-baranjska županija
31402 Semeljci;Forkuševci;Osječko-baranjska županija
31402 Semeljci;Kešinci;Osječko-baranjska županija
31402 Semeljci;Koritna;Osječko-baranjska županija
31402 Semeljci;Mrzović;Osječko-baranjska županija
31402 Semeljci;Semeljci;Osječko-baranjska županija
31402 Semeljci;Vrbica;Osječko-baranjska županija
31402 Semeljci;Vučevci;Osječko-baranjska županija
31403 Vuka;Beketinci;Osječko-baranjska županija
31403 Vuka;Hrastovac;Osječko-baranjska županija
31403 Vuka;Lipovac Hrastinski;Osječko-baranjska županija
31403 Vuka;Vuka;Osječko-baranjska županija
31404 Vladislavci;Dopsin;Osječko-baranjska županija
31404 Vladislavci;Hrastin;Osječko-baranjska županija
31404 Vladislavci;Vladislavci;Osječko-baranjska županija
31410 Strizivojna;Merolino Sikirevačko;Osječko-baranjska županija
31410 Strizivojna;Strizivojna;Osječko-baranjska županija
31411 Trnava;Dragotin;Osječko-baranjska županija
31411 Trnava;Hrkanovci Đakovački;Osječko-baranjska županija
31411 Trnava;Kondrić;Osječko-baranjska županija
31411 Trnava;Lapovci;Osječko-baranjska županija
31411 Trnava;Svetoblažje;Osječko-baranjska županija
31411 Trnava;Trnava;Osječko-baranjska županija
31415 Selci Đakovački;Selci Đakovački;Osječko-baranjska županija
31416 Levanjska Varoš;Borojevci;Osječko-baranjska županija
31416 Levanjska Varoš;Breznica Đakovačka;Osječko-baranjska županija
31416 Levanjska Varoš;Čenkovo;Osječko-baranjska županija
31416 Levanjska Varoš;Levanjska Varoš;Osječko-baranjska županija
31416 Levanjska Varoš;Majar;Osječko-baranjska županija
31416 Levanjska Varoš;Milinac;Osječko-baranjska županija
31416 Levanjska Varoš;Musić;Osječko-baranjska županija
31416 Levanjska Varoš;Ovčara;Osječko-baranjska županija
31416 Levanjska Varoš;Paučje;Osječko-baranjska županija
31416 Levanjska Varoš;Ratkov Dol;Osječko-baranjska županija
31416 Levanjska Varoš;Slobodna Vlast;Osječko-baranjska županija
31417 Piškorevci;Novi Perkovci;Osječko-baranjska županija
31417 Piškorevci;Piškorevci;Osječko-baranjska županija
31418 Drenje;Borovik;Osječko-baranjska županija
31418 Drenje;Drenje;Osječko-baranjska županija
31418 Drenje;Kućanci Đakovački;Osječko-baranjska županija
31418 Drenje;Mandićevac;Osječko-baranjska županija
31418 Drenje;Preslatinci;Osječko-baranjska županija
31418 Drenje;Pridvorje;Osječko-baranjska županija
31418 Drenje;Slatinik Drenjski;Osječko-baranjska županija
31421 Satnica Đakovačka;Gašinci;Osječko-baranjska županija
31421 Satnica Đakovačka;Satnica Đakovačka;Osječko-baranjska županija
31422 Gorjani;Gorjani;Osječko-baranjska županija
31422 Gorjani;Tomašanci;Osječko-baranjska županija
31423 Bračevci;Bračevci;Osječko-baranjska županija
31423 Bračevci;Bučje Gorjansko;Osječko-baranjska županija
31423 Bračevci;Paljevina;Osječko-baranjska županija
31423 Bračevci;Potnjani;Osječko-baranjska županija
31424 Punitovci;Josipovac Punitovački;Osječko-baranjska županija
31424 Punitovci;Jurjevac Punitovački;Osječko-baranjska županija
31424 Punitovci;Krndija;Osječko-baranjska županija
31424 Punitovci;Punitovci;Osječko-baranjska županija
31431 Čepin;Čepin;Osječko-baranjska županija
31431 Čepin;Čepinski Martinci;Osječko-baranjska županija
31431 Čepin;Čokadinci;Osječko-baranjska županija
31431 Čepin;Livana;Osječko-baranjska županija
31432 Budimci;Budimci;Osječko-baranjska županija
31432 Budimci;Poganovci;Osječko-baranjska županija
31433 Podgorač;Bijela Loza;Osječko-baranjska županija
31433 Podgorač;Kelešinka;Osječko-baranjska županija
31433 Podgorač;Kršinci;Osječko-baranjska županija
31433 Podgorač;Ostrošinci;Osječko-baranjska županija
31433 Podgorač;Podgorač;Osječko-baranjska županija
31433 Podgorač;Podgorje Bračevačko;Osječko-baranjska županija
31433 Podgorač;Razbojište;Osječko-baranjska županija
31433 Podgorač;Stipanovci;Osječko-baranjska županija
31500 Našice;Brezik Našički;Osječko-baranjska županija
31500 Našice;Ceremošnjak;Osječko-baranjska županija
31500 Našice;Crna Klada;Osječko-baranjska županija
31500 Našice;Gornja Motičina;Osječko-baranjska županija
31500 Našice;Gradac Našički;Osječko-baranjska županija
31500 Našice;Granice;Osječko-baranjska županija
31500 Našice;Klokočevci;Osječko-baranjska županija
31500 Našice;Lila;Osječko-baranjska županija
31500 Našice;Lipine;Osječko-baranjska županija
31500 Našice;Londžica;Osječko-baranjska županija
31500 Našice;Makloševac;Osječko-baranjska županija
31500 Našice;Markovac Našički;Osječko-baranjska županija
31500 Našice;Martin;Osječko-baranjska županija
31500 Našice;Našice;Osječko-baranjska županija
31500 Našice;Polubaše;Osječko-baranjska županija
31500 Našice;Rozmajerovac;Osječko-baranjska županija
31500 Našice;Seona;Osječko-baranjska županija
31500 Našice;Velimirovac;Osječko-baranjska županija
31500 Našice;Vukojevci;Osječko-baranjska županija
31500 Našice;Zoljan;Osječko-baranjska županija
31511 Đurđenovac;Beljevina;Osječko-baranjska županija
31511 Đurđenovac;Bokšić;Osječko-baranjska županija
31511 Đurđenovac;Bokšić Lug;Osječko-baranjska županija
31511 Đurđenovac;Đurđenovac;Osječko-baranjska županija
31511 Đurđenovac;Gabrilovac;Osječko-baranjska županija
31511 Đurđenovac;Krčevina;Osječko-baranjska županija
31511 Đurđenovac;Ličko Novo Selo;Osječko-baranjska županija
31511 Đurđenovac;Našičko Novo Selo;Osječko-baranjska županija
31511 Đurđenovac;Pribiševci;Osječko-baranjska županija
31511 Đurđenovac;Sušine;Osječko-baranjska županija
31511 Đurđenovac;Šaptinovci;Osječko-baranjska županija
31511 Đurđenovac;Teodorovac;Osječko-baranjska županija
31512 Feričanci;Feričanci;Osječko-baranjska županija
31512 Feričanci;Gazije;Osječko-baranjska županija
31512 Feričanci;Valenovac;Osječko-baranjska županija
31512 Feričanci;Vučjak Feričanački;Osječko-baranjska županija
31513 Donja Motičina;Donja Motičina;Osječko-baranjska županija
31530 Podravska Moslavina;Gezinci;Osječko-baranjska županija
31530 Podravska Moslavina;Krčenik;Osječko-baranjska županija
31530 Podravska Moslavina;Martinci Miholjački;Osječko-baranjska županija
31530 Podravska Moslavina;Podravska Moslavina;Osječko-baranjska županija
31531 Viljevo;Cret Viljevski;Osječko-baranjska županija
31531 Viljevo;Kapelna;Osječko-baranjska županija
31531 Viljevo;Viljevo;Osječko-baranjska županija
31540 Donji Miholjac;Blanje;Osječko-baranjska županija
31540 Donji Miholjac;Bockovac;Osječko-baranjska županija
31540 Donji Miholjac;Donji Miholjac;Osječko-baranjska županija
31540 Donji Miholjac;Ivanovo;Osječko-baranjska županija
31542 Magadenovac;Beničanci;Osječko-baranjska županija
31542 Magadenovac;Brezovica;Osječko-baranjska županija
31542 Magadenovac;Kućanci;Osječko-baranjska županija
31542 Magadenovac;Lacići;Osječko-baranjska županija
31542 Magadenovac;Magadenovac;Osječko-baranjska županija
31542 Magadenovac;Malinovac;Osječko-baranjska županija
31542 Magadenovac;Šljivoševci;Osječko-baranjska županija
31543 Miholjački Poreč;Čamagajevci;Osječko-baranjska županija
31543 Miholjački Poreč;Golinci;Osječko-baranjska županija
31543 Miholjački Poreč;Krunoslavje;Osječko-baranjska županija
31543 Miholjački Poreč;Miholjački Poreč;Osječko-baranjska županija
31543 Miholjački Poreč;Radikovci;Osječko-baranjska županija
31543 Miholjački Poreč;Rakitovica;Osječko-baranjska županija
31550 Valpovo;Bocanjevci;Osječko-baranjska županija
31550 Valpovo;Gorica Valpovačka;Osječko-baranjska županija
31550 Valpovo;Ladimirevci;Osječko-baranjska županija
31550 Valpovo;Nard;Osječko-baranjska županija
31550 Valpovo;Šag;Osječko-baranjska županija
31550 Valpovo;Valpovo;Osječko-baranjska županija
31551 Belišće;Belišće;Osječko-baranjska županija
31551 Belišće;Bistrinci;Osječko-baranjska županija
31552 Podgajci Podravski;Bočkinci;Osječko-baranjska županija
31552 Podgajci Podravski;Podgajci Podravski;Osječko-baranjska županija
31552 Podgajci Podravski;Sveti Đurađ;Osječko-baranjska županija
31553 Črnkovci;Črnkovci;Osječko-baranjska županija
31554 Gat;Gat;Osječko-baranjska županija
31554 Gat;Kitišanci;Osječko-baranjska županija
31554 Gat;Tiborjanci;Osječko-baranjska županija
31554 Gat;Veliškovci;Osječko-baranjska županija
31554 Gat;Vinogradci;Osječko-baranjska županija
31555 Marijanci;Kunišinci;Osječko-baranjska županija
31555 Marijanci;Marijanci;Osječko-baranjska županija
31555 Marijanci;Marjanski Ivanovci;Osječko-baranjska županija
32000 Vukovar;Bogdanovci;Vukovarsko-srijemska županija
32000 Vukovar;Grabovo (Vukovar);Vukovarsko-srijemska županija
32000 Vukovar;Vukovar;Vukovarsko-srijemska županija
32010 Vukovar;Lipovača;Vukovarsko-srijemska županija
32100 Vinkovci;Mirkovci;Vukovarsko-srijemska županija
32100 Vinkovci;Vinkovci;Vukovarsko-srijemska županija
32211 Ostrovo;Ostrovo;Vukovarsko-srijemska županija
32212 Gaboš;Gaboš;Vukovarsko-srijemska županija
32213 Markušica;Markušica;Vukovarsko-srijemska županija
32213 Markušica;Podrinje;Vukovarsko-srijemska županija
32214 Tordinci;Antin;Vukovarsko-srijemska županija
32214 Tordinci;Mlaka Antinska;Vukovarsko-srijemska županija
32214 Tordinci;Tordinci;Vukovarsko-srijemska županija
32221 Nuštar;Cerić;Vukovarsko-srijemska županija
32221 Nuštar;Marinci;Vukovarsko-srijemska županija
32221 Nuštar;Nuštar;Vukovarsko-srijemska županija
32222 Bršadin;Bršadin;Vukovarsko-srijemska županija
32222 Bršadin;Pačetin;Vukovarsko-srijemska županija
32224 Trpinja;Trpinja;Vukovarsko-srijemska županija
32224 Trpinja;Vera;Vukovarsko-srijemska županija
32225 Bobota;Bobota;Vukovarsko-srijemska županija
32225 Bobota;Ćelije;Vukovarsko-srijemska županija
32225 Bobota;Ludvinci;Vukovarsko-srijemska županija
32227 Borovo;Borovo;Vukovarsko-srijemska županija
32229 Petrovci;Petrovci;Vukovarsko-srijemska županija
32232 Sotin;Grabovo (Tompojevci);Vukovarsko-srijemska županija
32232 Sotin;Sotin;Vukovarsko-srijemska županija
32233 Opatovac;Opatovac;Vukovarsko-srijemska županija
32234 Šarengrad;Mohovo;Vukovarsko-srijemska županija
32234 Šarengrad;Šarengrad;Vukovarsko-srijemska županija
32235 Bapska;Bapska;Vukovarsko-srijemska županija
32236 Ilok;Ilok;Vukovarsko-srijemska županija
32237 Lovas;Lovas;Vukovarsko-srijemska županija
32238 Čakovci;Bokšić;Vukovarsko-srijemska županija
32238 Čakovci;Čakovci;Vukovarsko-srijemska županija
32238 Čakovci;Mikluševci;Vukovarsko-srijemska županija
32238 Čakovci;Tompojevci;Vukovarsko-srijemska županija
32239 Negoslavci;Negoslavci;Vukovarsko-srijemska županija
32241 Stari Jankovci;Novi Jankovci;Vukovarsko-srijemska županija
32241 Stari Jankovci;Stari Jankovci;Vukovarsko-srijemska županija
32242 Slakovci;Slakovci;Vukovarsko-srijemska županija
32242 Slakovci;Srijemske Laze;Vukovarsko-srijemska županija
32242 Slakovci;Svinjarevci;Vukovarsko-srijemska županija
32243 Orolik;Berak;Vukovarsko-srijemska županija
32243 Orolik;Orolik;Vukovarsko-srijemska županija
32244 Đeletovci;Đeletovci;Vukovarsko-srijemska županija
32245 Nijemci;Donje Novo Selo;Vukovarsko-srijemska županija
32245 Nijemci;Nijemci;Vukovarsko-srijemska županija
32245 Nijemci;Podgrađe;Vukovarsko-srijemska županija
32246 Lipovac;Apševci;Vukovarsko-srijemska županija
32246 Lipovac;Lipovac;Vukovarsko-srijemska županija
32247 Banovci;Banovci;Vukovarsko-srijemska županija
32247 Banovci;Vinkovački Banovci;Vukovarsko-srijemska županija
32248 Ilača;Ilača;Vukovarsko-srijemska županija
32249 Tovarnik;Tovarnik;Vukovarsko-srijemska županija
32251 Privlaka;Privlaka;Vukovarsko-srijemska županija
32252 Otok;Otok;Vukovarsko-srijemska županija
32253 Komletinci;Komletinci;Vukovarsko-srijemska županija
32254 Vrbanja;Vrbanja;Vukovarsko-srijemska županija
32255 Soljani;Soljani;Vukovarsko-srijemska županija
32256 Strošinci;Strošinci;Vukovarsko-srijemska županija
32257 Drenovci;Drenovci;Vukovarsko-srijemska županija
32258 Posavski Podgajci;Posavski Podgajci;Vukovarsko-srijemska županija
32260 Gunja;Gunja;Vukovarsko-srijemska županija
32261 Rajevo Selo;Rajevo Selo;Vukovarsko-srijemska županija
32262 Račinovci;Račinovci;Vukovarsko-srijemska županija
32263 Đurići;Đurići;Vukovarsko-srijemska županija
32270 Županja;Županja;Vukovarsko-srijemska županija
32271 Rokovci-Andrijaševci;Andrijaševci;Vukovarsko-srijemska županija
32271 Rokovci-Andrijaševci;Rokovci;Vukovarsko-srijemska županija
32272 Cerna;Cerna;Vukovarsko-srijemska županija
32272 Cerna;Šiškovci;Vukovarsko-srijemska županija
32273 Gradište;Gradište;Vukovarsko-srijemska županija
32274 Štitar;Štitar;Vukovarsko-srijemska županija
32275 Bošnjaci;Bošnjaci;Vukovarsko-srijemska županija
32276 Babina Greda;Babina Greda;Vukovarsko-srijemska županija
32280 Jarmina;Jarmina;Vukovarsko-srijemska županija
32280 Jarmina;Karadžićevo;Vukovarsko-srijemska županija
32281 Ivankovo;Ivankovo;Vukovarsko-srijemska županija
32282 Retkovci;Prkovci;Vukovarsko-srijemska županija
32282 Retkovci;Retkovci;Vukovarsko-srijemska županija
32283 Vođinci;Vođinci;Vukovarsko-srijemska županija
32284 Stari Mikanovci;Novi Mikanovci;Vukovarsko-srijemska županija
32284 Stari Mikanovci;Stari Mikanovci;Vukovarsko-srijemska županija
33000 Virovitica;Čemernica;Virovitičko-podravska županija
33000 Virovitica;Golo Brdo;Virovitičko-podravska županija
33000 Virovitica;Jasenaš;Virovitičko-podravska županija
33000 Virovitica;Korija;Virovitičko-podravska županija
33000 Virovitica;Milanovac;Virovitičko-podravska županija
33000 Virovitica;Podgorje;Virovitičko-podravska županija
33000 Virovitica;Rezovac;Virovitičko-podravska županija
33000 Virovitica;Rezovačke Krčevine;Virovitičko-podravska županija
33000 Virovitica;Sveti Đurađ;Virovitičko-podravska županija
33000 Virovitica;Virovitica;Virovitičko-podravska županija
33404 Špišić Bukovica;Bušetina;Virovitičko-podravska županija
33404 Špišić Bukovica;Lozan;Virovitičko-podravska županija
33404 Špišić Bukovica;Novi Antunovac;Virovitičko-podravska županija
33404 Špišić Bukovica;Okrugljača;Virovitičko-podravska županija
33404 Špišić Bukovica;Rogovac;Virovitičko-podravska županija
33404 Špišić Bukovica;Špišić Bukovica;Virovitičko-podravska županija
33404 Špišić Bukovica;Vukosavljevica;Virovitičko-podravska županija
33405 Pitomača;Dinjevac;Virovitičko-podravska županija
33405 Pitomača;Grabrovnica;Virovitičko-podravska županija
33405 Pitomača;Kladare;Virovitičko-podravska županija
33405 Pitomača;Križnica;Virovitičko-podravska županija
33405 Pitomača;Mala Črešnjevica;Virovitičko-podravska županija
33405 Pitomača;Otrovanec;Virovitičko-podravska županija
33405 Pitomača;Pitomača;Virovitičko-podravska županija
33405 Pitomača;Sedlarica;Virovitičko-podravska županija
33405 Pitomača;Stari Gradac;Virovitičko-podravska županija
33405 Pitomača;Starogradački Marof;Virovitičko-podravska županija
33405 Pitomača;Turnašica;Virovitičko-podravska županija
33405 Pitomača;Velika Črešnjevica;Virovitičko-podravska županija
33406 Lukač;Brezik;Virovitičko-podravska županija
33406 Lukač;Budrovac Lukački;Virovitičko-podravska županija
33406 Lukač;Dugo Selo Lukačko;Virovitičko-podravska županija
33406 Lukač;Kapela Dvor;Virovitičko-podravska županija
33406 Lukač;Lukač;Virovitičko-podravska županija
33406 Lukač;Turanovac;Virovitičko-podravska županija
33407 Gornje Bazje;Gornje Bazje;Virovitičko-podravska županija
33407 Gornje Bazje;Katinka;Virovitičko-podravska županija
33407 Gornje Bazje;Rit;Virovitičko-podravska županija
33407 Gornje Bazje;Terezino Polje;Virovitičko-podravska županija
33407 Gornje Bazje;Veliko Polje;Virovitičko-podravska županija
33407 Gornje Bazje;Zrinj Lukački;Virovitičko-podravska županija
33410 Suhopolje;Borova;Virovitičko-podravska županija
33410 Suhopolje;Gaćište;Virovitičko-podravska županija
33410 Suhopolje;Naudovac;Virovitičko-podravska županija
33410 Suhopolje;Orešac;Virovitičko-podravska županija
33410 Suhopolje;Pčelić;Virovitičko-podravska županija
33410 Suhopolje;Suhopolje;Virovitičko-podravska županija
33410 Suhopolje;Zvonimirovo;Virovitičko-podravska županija
33411 Gradina;Bačevac;Virovitičko-podravska županija
33411 Gradina;Brezovica;Virovitičko-podravska županija
33411 Gradina;Budakovac;Virovitičko-podravska županija
33411 Gradina;Detkovac;Virovitičko-podravska županija
33411 Gradina;Gradina;Virovitičko-podravska županija
33411 Gradina;Lipovac;Virovitičko-podravska županija
33411 Gradina;Lug Gradinski;Virovitičko-podravska županija
33411 Gradina;Novi Gradac;Virovitičko-podravska županija
33411 Gradina;Rušani;Virovitičko-podravska županija
33411 Gradina;Vladimirovac;Virovitičko-podravska županija
33411 Gradina;Žlebina;Virovitičko-podravska županija
33412 Cabuna;Budanica;Virovitičko-podravska županija
33412 Cabuna;Cabuna;Virovitičko-podravska županija
33412 Cabuna;Jugovo Polje;Virovitičko-podravska županija
33412 Cabuna;Trnava Cabunska;Virovitičko-podravska županija
33412 Cabuna;Žiroslavlje;Virovitičko-podravska županija
33412 Cabuna;Žubrica;Virovitičko-podravska županija
33507 Crnac;Breštanovci;Virovitičko-podravska županija
33507 Crnac;Crnac;Virovitičko-podravska županija
33507 Crnac;Krivaja Pustara;Virovitičko-podravska županija
33507 Crnac;Mali Rastovac;Virovitičko-podravska županija
33507 Crnac;Milanovac;Virovitičko-podravska županija
33507 Crnac;Novo Petrovo Polje;Virovitičko-podravska županija
33507 Crnac;Staro Petrovo Polje;Virovitičko-podravska županija
33507 Crnac;Suha Mlaka;Virovitičko-podravska županija
33507 Crnac;Veliki Rastovac;Virovitičko-podravska županija
33507 Crnac;Žabnjača;Virovitičko-podravska županija
33513 Zdenci;Bankovci;Virovitičko-podravska županija
33513 Zdenci;Donje Predrijevo;Virovitičko-podravska županija
33513 Zdenci;Duga Međa;Virovitičko-podravska županija
33513 Zdenci;Grudnjak;Virovitičko-podravska županija
33513 Zdenci;Kutovi;Virovitičko-podravska županija
33513 Zdenci;Obradovci;Virovitičko-podravska županija
33513 Zdenci;Slavonske Bare;Virovitičko-podravska županija
33513 Zdenci;Zdenci;Virovitičko-podravska županija
33513 Zdenci;Zokov Gaj;Virovitičko-podravska županija
33514 Čačinci;Brezovljani Vojlovički;Virovitičko-podravska županija
33514 Čačinci;Bukvik;Virovitičko-podravska županija
33514 Čačinci;Čačinci;Virovitičko-podravska županija
33514 Čačinci;Humljani;Virovitičko-podravska županija
33514 Čačinci;Krajna;Virovitičko-podravska županija
33514 Čačinci;Krasković;Virovitičko-podravska županija
33514 Čačinci;Paušinci;Virovitičko-podravska županija
33514 Čačinci;Prekoračani;Virovitičko-podravska županija
33514 Čačinci;Pušina;Virovitičko-podravska županija
33514 Čačinci;Rajino Polje;Virovitičko-podravska županija
33514 Čačinci;Slatinski Drenovac;Virovitičko-podravska županija
33514 Čačinci;Vojlovica;Virovitičko-podravska županija
33515 Orahovica;Bijeljevina Orahovička;Virovitičko-podravska županija
33515 Orahovica;Crkvari;Virovitičko-podravska županija
33515 Orahovica;Dolci;Virovitičko-podravska županija
33515 Orahovica;Donja Pištana;Virovitičko-podravska županija
33515 Orahovica;Duzluk;Virovitičko-podravska županija
33515 Orahovica;Gornja Pištana;Virovitičko-podravska županija
33515 Orahovica;Karlovac Feričanački;Virovitičko-podravska županija
33515 Orahovica;Kokočak;Virovitičko-podravska županija
33515 Orahovica;Magadinovac;Virovitičko-podravska županija
33515 Orahovica;Nova Jošava;Virovitičko-podravska županija
33515 Orahovica;Orahovica;Virovitičko-podravska županija
33515 Orahovica;Stara Jošava;Virovitičko-podravska županija
33515 Orahovica;Šumeđe;Virovitičko-podravska županija
33517 Mikleuš;Balinci;Virovitičko-podravska županija
33517 Mikleuš;Borik;Virovitičko-podravska županija
33517 Mikleuš;Bukovački Antunovac;Virovitičko-podravska županija
33517 Mikleuš;Četekovac;Virovitičko-podravska županija
33517 Mikleuš;Čojlug;Virovitičko-podravska županija
33517 Mikleuš;Ćeralije;Virovitičko-podravska županija
33517 Mikleuš;Mikleuš;Virovitičko-podravska županija
33517 Mikleuš;Rijenci;Virovitičko-podravska županija
33518 Nova Bukovica;Bjelkovac;Virovitičko-podravska županija
33518 Nova Bukovica;Brezik;Virovitičko-podravska županija
33518 Nova Bukovica;Dobrović;Virovitičko-podravska županija
33518 Nova Bukovica;Donja Bukovica;Virovitičko-podravska županija
33518 Nova Bukovica;Gornje Viljevo;Virovitičko-podravska županija
33518 Nova Bukovica;Miljevci;Virovitičko-podravska županija
33518 Nova Bukovica;Nova Bukovica;Virovitičko-podravska županija
33520 Slatina;Bakić;Virovitičko-podravska županija
33520 Slatina;Bistrica;Virovitičko-podravska županija
33520 Slatina;Donje Kusonje;Virovitičko-podravska županija
33520 Slatina;Donji Meljani;Virovitičko-podravska županija
33520 Slatina;Golenić;Virovitičko-podravska županija
33520 Slatina;Gornje Kusonje;Virovitičko-podravska županija
33520 Slatina;Gornji Miholjac;Virovitičko-podravska županija
33520 Slatina;Grabić;Virovitičko-podravska županija
33520 Slatina;Hum;Virovitičko-podravska županija
33520 Slatina;Hum Varoš;Virovitičko-podravska županija
33520 Slatina;Ivanbrijeg;Virovitičko-podravska županija
33520 Slatina;Josipovo;Virovitičko-podravska županija
33520 Slatina;Kozice;Virovitičko-podravska županija
33520 Slatina;Lukavac;Virovitičko-podravska županija
33520 Slatina;Mačkovac;Virovitičko-podravska županija
33520 Slatina;Markovo;Virovitičko-podravska županija
33520 Slatina;Medinci;Virovitičko-podravska županija
33520 Slatina;Nova Šarovka;Virovitičko-podravska županija
33520 Slatina;Novi Senkovac;Virovitičko-podravska županija
33520 Slatina;Novo Kusonje;Virovitičko-podravska županija
33520 Slatina;Radosavci;Virovitičko-podravska županija
33520 Slatina;Sladojevački Lug;Virovitičko-podravska županija
33520 Slatina;Sladojevci;Virovitičko-podravska županija
33520 Slatina;Slatina;Virovitičko-podravska županija
33520 Slatina;Španat;Virovitičko-podravska županija
33520 Slatina;Višnjica;Virovitičko-podravska županija
33522 Voćin;Bokane;Virovitičko-podravska županija
33522 Voćin;Dobrić;Virovitičko-podravska županija
